Fecha,medio,Valor
07/02/2023,Renfe Cercanías,615081
08/02/2023,Metro de Madrid,2241168
08/02/2023,EMT,1494264
08/02/2023,Conc. por carretera,957604
08/02/2023,Renfe Cercanías,614916
09/02/2023,Metro de Madrid,2247684
09/02/2023,EMT,1512276
09/02/2023,Conc. por carretera,967393
09/02/2023,Renfe Cercanías,613711
10/02/2023,Metro de Madrid,2319375
10/02/2023,EMT,1495020
10/02/2023,Conc. por carretera,979269
10/02/2023,Renfe Cercanías,612034
11/02/2023,Metro de Madrid,1534496
11/02/2023,EMT,815486
11/02/2023,Conc. por carretera,463042
11/02/2023,Renfe Cercanías,363772
12/02/2023,Metro de Madrid,1239238
12/02/2023,EMT,585819
12/02/2023,Conc. por carretera,321243
12/02/2023,Renfe Cercanías,328059
13/02/2023,Metro de Madrid,2124337
13/02/2023,EMT,1478410
13/02/2023,Conc. por carretera,942825
13/02/2023,Renfe Cercanías,587955
14/02/2023,Metro de Madrid,2285902
14/02/2023,EMT,1541137
14/02/2023,Conc. por carretera,982939
14/02/2023,Renfe Cercanías,624399
15/02/2023,Metro de Madrid,2263581
15/02/2023,EMT,1514991
15/02/2023,Conc. por carretera,972423
15/02/2023,Renfe Cercanías,619543
16/02/2023,Metro de Madrid,2270821
16/02/2023,EMT,1537326
16/02/2023,Conc. por carretera,979906
16/02/2023,Renfe Cercanías,602630
17/02/2023,Metro de Madrid,2298769
17/02/2023,EMT,1501130
17/02/2023,Conc. por carretera,979083
17/02/2023,Renfe Cercanías,605514
18/02/2023,Metro de Madrid,1523780
18/02/2023,EMT,819998
18/02/2023,Conc. por carretera,461614
18/02/2023,Renfe Cercanías,354104
19/02/2023,Metro de Madrid,1178459
19/02/2023,EMT,592385
19/02/2023,Conc. por carretera,311423
19/02/2023,Renfe Cercanías,283058
20/02/2023,Metro de Madrid,2127223
20/02/2023,EMT,1470566
20/02/2023,Conc. por carretera,943312
20/02/2023,Renfe Cercanías,593514
21/02/2023,Metro de Madrid,2213414
21/02/2023,EMT,1524691
21/02/2023,Conc. por carretera,967630
21/02/2023,Renfe Cercanías,614056
22/02/2023,Metro de Madrid,2252200
22/02/2023,EMT,1544641
22/02/2023,Conc. por carretera,976410
22/02/2023,Renfe Cercanías,620475
23/02/2023,Metro de Madrid,2300710
23/02/2023,EMT,1527186
23/02/2023,Conc. por carretera,990503
23/02/2023,Renfe Cercanías,617190
24/02/2023,Metro de Madrid,2177381
24/02/2023,EMT,1318765
24/02/2023,Conc. por carretera,840039
24/02/2023,Renfe Cercanías,572867
25/02/2023,Metro de Madrid,1545510
25/02/2023,EMT,793536
25/02/2023,Conc. por carretera,444154
25/02/2023,Renfe Cercanías,359163
26/02/2023,Metro de Madrid,1190953
26/02/2023,EMT,603112
26/02/2023,Conc. por carretera,332625
26/02/2023,Renfe Cercanías,293785
27/02/2023,Metro de Madrid,1978790
